"","CD3","CD4","CD8a","CD11b","CD14","CD15","CD16","CD19","CD20","CD25","CD27","CD28","CD34","CD45RA","CD45RO","CD56","CD62L","CD69","CD80","CD86","CD127","CD137","CD197","CD274","CD278","CD335","PD.1","HLA.DR","TIGIT","cluster.info"
"1271",822,1204,7,7,10,16,2,5,17,66,501,531,0,5,269,6,4,10,2,8,4,6,8,4,227,4,11,11,2,"mem CD4 T"
"1272",5,8,2,132,9,2,18,3,1,2,0,10,0,431,10,41,0,29,1,2,4,1,6,4,30,4,1,33,25,"NK"
"1273",12,339,9,2056,841,17,4,14,15,3,10,3,0,44,51,4,6,39,1,235,9,3,11,1,7,5,9,958,2,"CD14 Mono"
"1274",414,1500,8,9,8,11,6,5,12,21,125,234,0,8,165,4,3,14,2,6,262,1,13,6,61,2,19,16,3,"mem CD4 T"
"1275",6,157,7,463,88,13,57,1,6,5,5,14,0,463,17,3,3,6,3,109,3,1,8,3,1,2,6,1276,1,"CD14 Mono"
"1276",721,1638,3,7,11,23,6,6,13,12,522,346,0,10,183,5,6,5,1,2,187,3,10,5,47,4,7,13,2,"mem CD4 T"
"1277",499,933,2,12,8,4,1,7,4,3,326,64,0,79,35,2,6,6,1,3,33,1,13,2,28,5,6,15,1,"naive CD4 T"
"1278",410,1081,4,7,8,8,2,5,4,1,464,98,0,86,19,3,9,3,1,2,36,1,15,0,19,5,5,14,1,"naive CD4 T"
"1279",391,1519,4,20,5,9,4,2,5,8,256,204,0,9,195,0,1,186,2,2,48,3,5,3,84,5,5,16,3,"mem CD4 T"
"1280",13,275,7,2335,681,14,2,5,9,8,6,7,0,52,38,4,75,17,3,184,2,2,14,2,7,3,6,388,2,"CD14 Mono"
"1281",1879,2013,14,15,7,25,6,6,17,10,909,253,1,814,18,8,218,8,2,4,35,2,21,10,71,11,9,29,3,"naive CD4 T"
"1282",15,237,8,2930,603,17,2,8,6,7,7,7,0,11,184,3,47,18,1,178,6,4,7,5,8,3,3,327,3,"CD14 Mono"
"1283",16,197,8,1185,336,24,22,6,14,6,5,14,0,468,22,7,2,21,3,268,2,2,18,3,4,7,8,1713,6,"CD14 Mono"
"1284",462,763,6,2,11,7,2,4,5,7,499,77,0,261,2,0,14,5,4,2,44,1,13,1,46,3,5,15,0,"naive CD4 T"
"1285",561,4,263,7,8,3,2,0,3,2,96,49,0,16,81,4,17,8,0,3,14,1,7,2,46,2,43,12,12,"CD8 T"
"1286",23,129,8,1292,667,8,2,1,13,7,4,12,0,81,62,5,28,18,3,308,8,0,8,2,1,3,5,593,0,"CD14 Mono"
"1287",493,840,6,7,4,6,1,6,10,2,768,120,0,32,64,5,4,14,0,1,17,2,5,6,50,6,13,13,2,"mem CD4 T"
"1288",7,65,7,836,915,22,6,4,10,8,3,22,0,62,10,4,4,12,5,191,4,1,11,5,7,11,6,327,4,"CD14 Mono"
